复评编号,文件路径,标题,内容身份,核心内容,独特观点,独特案例或反例,思想演变或适用边界价值,原D级理由,原D级理由是否成立,复评分级,对应主书章节,具体位置,是否进入侧栏,是否进入附录,是否进入索引,是否进入完整典藏层,仍保持D级的明确理由,复评备注
DR-029,content/models/evolutionary-arms-race.md,进化军备竞赛,通用模型与编辑扩展,进化军备竞赛描述了竞争双方不断升级各自能力但相对关系不变的螺旋，毒蛇与地松鼠的万年对抗揭示了商业竞争中无休止升级的底层逻辑。,相对芒格原始演讲，该稿新增了“进化军备竞赛”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,毒蛇与地松鼠的永恒战争；可口可乐vs百事：一千亿美元的广告战；药企专利悬崖：攻防的永恒循环,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“生物学与进化论”分组及概念索引“进化军备竞赛”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-030,content/models/evolutionary-epistemology.md,进化认识论,通用模型与编辑扩展,人类知识的进步遵循与生物进化相同的逻辑：新思想如基因突变般出现，经受现实检验的选择压力，在残酷竞争中逐渐逼近真理。,相对芒格原始演讲，该稿新增了“进化认识论”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,库恩的范式革命：知识进化不是平滑的；商业模式的进化选择：市场作为淘汰机制；像对待科学假说一样检验信念,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“历史学与哲学”分组及概念索引“进化认识论”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-031,content/models/exponential-growth.md,指数增长与种群动力学,通用模型与编辑扩展,指数增长与种群动力学揭示了J曲线和S曲线的本质——培养皿在第59分钟才半满，理解指数增长的反直觉特性是识别机会与危机的关键。,相对芒格原始演讲，该稿新增了“指数增长与种群动力学”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,培养皿里的最后一个小时；细菌的真实教训：指数增长与极限；SaaS企业的S曲线：一个当代案例,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-04,模型身份附录“生物学与进化论”分组及概念索引“指数增长与种群动力学”；关联munger-ch-04,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-032,content/models/extinction-irreversibility.md,灭绝与不可逆性,通用模型与编辑扩展,灭绝与不可逆性警示我们某些错误只需犯一次就足以致命——如同给一串数字乘以零，无论之前多辉煌结果都是零，避免归零是一切策略的前提。,相对芒格原始演讲，该稿新增了“灭绝与不可逆性”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一条不该打开的门；雷曼兄弟：一个158年物种的灭绝；声誉的不可逆损毁,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-05,章节侧栏/补充解释“灭绝与不可逆性”（munger-ch-05）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-033,content/models/fault-tolerance.md,容错设计与优雅降级,通用模型与编辑扩展,Netflix每天故意在生产环境中杀死服务器却无用户感知异常——好的系统不追求永不出错，而是确保出错时功能逐步减少但核心仍然运转。,相对芒格原始演讲，该稿新增了“容错设计与优雅降级”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,伯克希尔：一台容错机器；Netflix的混沌工程：主动寻找故障；不是永不倒下，而是永远能站起来,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-06,章节侧栏/补充解释“容错设计与优雅降级”（munger-ch-06）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-034,content/models/feynman-technique.md,费曼技巧,通用模型与编辑扩展,能否用简单语言解释一件事，是检验是否真正理解它的唯一可靠方法。费曼技巧通过'以教代学'暴露被动识别与主动生成之间的认知鸿沟。,相对芒格原始演讲，该稿新增了“费曼技巧”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一个物理学家的诚实；费曼在康奈尔的蚂蚁实验；芒格的“能力圈”：费曼技巧的投资应用,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-05,模型身份附录“元认知与思维方法论”分组及概念索引“费曼技巧”；关联munger-ch-05,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-035,content/models/fiduciary-duty.md,信托责任,通用模型与编辑扩展,信托责任要求受托人将他人利益置于自身利益之上，是法律体系中最高等级的义务标准。芒格和巴菲特以身作则，将其视为商业道德的基石。,相对芒格原始演讲，该稿新增了“信托责任”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,一封每年都寄出的信；信托责任到底要求什么；2008年：当信托责任被系统性遗忘,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-14,章节侧栏/补充解释“信托责任”（munger-ch-14）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-036,content/models/five-ws-principle.md,五何原则,通用模型与编辑扩展,传达任何信息必须说明何人因何故在何时何地做了何事。这条卡尔·布劳恩的铁律对模糊性零容忍，因为模糊的语言几乎总是模糊思维的症状。,相对芒格原始演讲，该稿新增了“五何原则”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,哥伦比亚号的七条命：模糊沟通的致命代价；如何用五何原则；简单到不可原谅的被忽视,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-02,章节侧栏/补充解释“五何原则”（munger-ch-02）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-037,content/models/franklins-self-improvement-system.md,富兰克林的自我修炼,通用模型与编辑扩展,富兰克林用十三条美德清单和数据追踪系统，将品格发展从模糊的道德愿望变成精确的自我迭代工程，深刻启发了芒格的终身自我修炼哲学。,相对芒格原始演讲，该稿新增了“富兰克林的自我修炼”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,富兰克林的13美德清单：一个两百年前的自我迭代系统；芒格的“每天进步一点”：富兰克林精神的现代版；富兰克林的人生：一个自我修炼复利效应的完整案例,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-04,模型身份附录“历史学与哲学”分组及概念索引“富兰克林的自我修炼”；关联munger-ch-04,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-038,content/models/half-life.md,半衰期,通用模型与编辑扩展,半衰期揭示了事物按固定比例指数衰减的规律——从药物浓度到知识过时，不同事物的持久性差异巨大，聪明人应把资源投入半衰期最长的事物。,相对芒格原始演讲，该稿新增了“半衰期”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,指数衰减：为什么“慢慢变没”的速度超出直觉；知识的半衰期：芒格为什么偏爱“长青”知识；竞争优势的半衰期：为什么有些护城河是永恒的,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“物理学与化学”分组及概念索引“半衰期”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-039,content/models/historical-contingency-path-dependence.md,历史偶然性与路径依赖,通用模型与编辑扩展,历史的走向不由内在必然性决定，而在关键节点受偶然事件深刻影响；一旦发生便锁定此后的发展路径，对投资和决策有重大启示。,相对芒格原始演讲，该稿新增了“历史偶然性与路径依赖”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,标志性案例：偶然如何锁定历史；偶然与必然之间；关联模型,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“历史学与哲学”分组及概念索引“历史偶然性与路径依赖”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-040,content/models/immune-system-antifragility.md,免疫系统与抗脆弱性,通用模型与编辑扩展,免疫系统是抗脆弱性的生物学原型——有些系统不只能承受伤害，而是需要伤害才能变强，疫苗的原理正是通过可控的小伤害换取对大威胁的免疫。,相对芒格原始演讲，该稿新增了“免疫系统与抗脆弱性”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,那些差点杀死你的东西；“干净”的孩子为什么更容易生病；桥水基金的“免疫系统”,主要价值在于展示后人扩展的边界和类比风险；缺少芒格直接证据，不进入人物思想主叙事。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,成立：独立内容存在，但与芒格直接思想链较弱且类比风险较高，保留D级和典藏位置。,D,munger-ch-13,完整典藏层“通用模型候选/生物学与进化论/免疫系统与抗脆弱性”及来源/主题索引；不进入主书叙事,否,否,是,是,缺少芒格直接提出或反复使用证据，且从自然科学/历史现象向商业与人生外推的类比链较长；若进入正文容易造成错误归因或过度解释。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-041,content/models/intellectual-property-law.md,知识产权法,通用模型与编辑扩展,知识产权法通过专利、商标和版权制度，在激励创新与促进知识传播之间寻求平衡，是理解企业护城河和竞争优势的关键法律框架。,相对芒格原始演讲，该稿新增了“知识产权法”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,苹果的专利战争：知识产权如何重塑行业竞争；迪士尼的版权博弈：当法律跟随商业利益；法律构筑的无形护城河,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-08,模型身份附录“法学与政治学”分组及概念索引“知识产权法”；关联munger-ch-08,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-042,content/models/iteration-prototyping.md,迭代与原型,通用模型与编辑扩展,SpaceX四次发射三次失败后改写了航天经济学，而NASA的SLS十一年230亿美元才完成一次发射——迭代开发承认你无法在动手前完全理解问题。,相对芒格原始演讲，该稿新增了“迭代与原型”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,迭代的核心逻辑：用行动来消解无知；MVP：硅谷如何把工程学原理变成商业方法论；迭代思维与芒格：表面矛盾下的深层一致,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-13,模型身份附录“工程学”分组及概念索引“迭代与原型”；关联munger-ch-13,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-043,content/models/law-of-large-numbers.md,大数定律,通用模型与编辑扩展,大数定律揭示了样本越大真实规律越清晰的统计本质，解释了为何短期表现无法区分运气与能力，以及赌场和投资中如何利用长期确定性。,相对芒格原始演讲，该稿新增了“大数定律”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,硬币、赌场和你的直觉；为什么你不能从三个季度判断一个CEO；投资业绩的随机性：一个令人不安的真相,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-04,章节侧栏/补充解释“大数定律”（munger-ch-04）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-044,content/models/modern-darwinian-synthesis.md,进化论,通用模型与编辑扩展,现代达尔文综合进化论是芒格最重要的思维模型之一——随机变异、自然选择和遗传三个齿轮驱动的淘汰机制，是理解竞争和商业本质的基石。,相对芒格原始演讲，该稿新增了“进化论”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,一场持续了三十亿年的淘汰赛；商业就是一场自然选择；伯克希尔的“物种策略”,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-02,章节侧栏/补充解释“进化论”（munger-ch-02）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-045,content/models/momentum.md,动量与惯性,通用模型与编辑扩展,动量与惯性解释了运动中的物体倾向于保持运动的物理定律，柯达明知数码技术却无法转身的案例展示了组织惯性如何将优势变成致命枷锁。,相对芒格原始演讲，该稿新增了“动量与惯性”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,牛顿第一定律：宇宙中最顽固的倾向；消费者习惯：你以为你在选择，其实你在惯性滑行；组织变革为何如此困难：惯性的五个层面,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-02,模型身份附录“物理学与化学”分组及概念索引“动量与惯性”；关联munger-ch-02,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-046,content/models/multiplicative-systems.md,乘法系统思维,通用模型与编辑扩展,乘法系统思维揭示了串联系统的残酷算术——当成功要求每个环节都成功时，总成功率是各环节概率的乘积，衰减速度远超直觉预期。,相对芒格原始演讲，该稿新增了“乘法系统思维”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,乘法的残酷算术；航天飞机：当乘法系统遇上极端复杂性；复杂商业计划为什么常常失败,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-04,章节侧栏/补充解释“乘法系统思维”（munger-ch-04）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-047,content/models/natural-selection-survival-of-the-fittest.md,自然选择与适者生存,通用模型与编辑扩展,自然选择中的适者不是最强者而是最适合当前环境者，没有绝对的适者只有相对于特定环境的适配，这一洞见深刻改变了对竞争和成功的理解。,相对芒格原始演讲，该稿新增了“自然选择与适者生存”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,“适者”到底是谁；选择机制的精确解剖；达尔文雀的喙：选择的实时观测,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“生物学与进化论”分组及概念索引“自然选择与适者生存”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-048,content/models/negligence-vs-strict-liability.md,过失与严格责任,通用模型与编辑扩展,过失责任要求证明被告未尽合理注意义务，严格责任则不论是否有过错均须担责。两种归责模式深刻影响企业的风险管理和产品安全决策。,相对芒格原始演讲，该稿新增了“过失与严格责任”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,72亿美元的判决书；两种完全不同的问责逻辑；强生爽身粉：当“注意”不是免罪符,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-08,模型身份附录“法学与政治学”分组及概念索引“过失与严格责任”；关联munger-ch-08,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-049,content/models/network-theory.md,网络理论,通用模型与编辑扩展,网络理论研究节点之间的连接模式如何决定系统行为，从六度分隔到无标度网络，揭示了信息传播、系统韧性和商业竞争格局的隐藏结构。,相对芒格原始演讲，该稿新增了“网络理论”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,从欧拉的七座桥说起；梅特卡夫定律：为什么网络效应如此强大；小世界网络：六步之遥的数学,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-11,章节侧栏/补充解释“网络理论”（munger-ch-11）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-050,content/models/niche-differentiation.md,利基分化,通用模型与编辑扩展,利基分化通过占据独特的生态位来避免直接竞争，达尔文雀的十三种喙型揭示了商业铁律——与其争夺同一张桌子不如找到属于自己的饭碗。,相对芒格原始演讲，该稿新增了“利基分化”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,十三种雀的秘密；高斯的竞争排斥原则；In-N-Out Burger：一个汉堡店的进化智慧,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-05,模型身份附录“生物学与进化论”分组及概念索引“利基分化”；关联munger-ch-05,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-051,content/models/nonlinear-consequences.md,非线性后果,通用模型与编辑扩展,非线性后果揭示了输入与输出之间的非比例关系——泰坦尼克号速度仅增50%但制动距离增125%，人类直觉的线性假设在非线性世界中会导致灾难性误判。,相对芒格原始演讲，该稿新增了“非线性后果”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,什么是非线性？；一条河流如何变成杀手；巴菲特的非线性赌局,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-10,章节侧栏/补充解释“非线性后果”（munger-ch-10）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-052,content/models/normal-non-normal-distributions.md,正态与非正态分布,通用模型与编辑扩展,正态分布与肥尾分布的本质区别决定了极端事件的发生概率，LTCM的崩溃警示我们不能用钟形曲线的假设来建模真实世界的风险。,相对芒格原始演讲，该稿新增了“正态与非正态分布”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,正态分布：为什么它如此诱人；肥尾：现实世界的真实形状；“平均斯坦”与“极端斯坦”,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-04,章节侧栏/补充解释“正态与非正态分布”（munger-ch-04）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-053,content/models/parasitism-mutualism.md,寄生与共生,通用模型与编辑扩展,寄生与共生是两种截然不同的关系模式——互利共生让双方都更强大、关系更持久，而寄生关系终将耗尽宿主，芒格以Costco为典范阐释商业中的共生智慧。,相对芒格原始演讲，该稿新增了“寄生与共生”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,从剥削到合作：Costco为什么让利；平台寄生：当中间商变成绦虫；创造价值的中间商vs寄生性中间商,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-11,模型身份附录“生物学与进化论”分组及概念索引“寄生与共生”；关联munger-ch-11,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-054,content/models/patents-trademarks-franchises.md,专利权、商标权与特许经营权,通用模型与编辑扩展,专利提供有限期垄断，商标可无限期自我强化，经济特许经营权赋予持久定价权——理解这三种无形资产是芒格从捡烟蒂转向买伟大企业的关键转折。,相对芒格原始演讲，该稿新增了“专利权、商标权与特许经营权”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,经济特许经营权 vs 商业企业：一个生死区分；三种护城河的生命周期；如何在实践中运用,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-12,章节侧栏/补充解释“专利权、商标权与特许经营权”（munger-ch-12）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-055,content/models/permutations-and-combinations.md,排列组合原理,通用模型与编辑扩展,排列组合原理揭示了多环节串联系统的概率衰减效应——当一个计划需要多个独立环节全部成功时，整体成功率远低于任何单一环节的成功率。,相对芒格原始演讲，该稿新增了“排列组合原理”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,从扑克牌到商业帝国；保险精算：排列组合的百亿美元应用；日常决策：你每天都在做概率估算，只是做得很糟,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-04,章节侧栏/补充解释“排列组合原理”（munger-ch-04）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-056,content/models/phase-transitions.md,相变与临界现象,通用模型与编辑扩展,相变揭示了系统在临界点发生突然、不连续跳跃的本质——从99度到100度只多了一度但水变成了蒸汽，商业和社会中的剧变同样遵循这种非渐进逻辑。,相对芒格原始演讲，该稿新增了“相变与临界现象”的跨学科定义、机制和应用路径；此增量属于通用知识或后人兼容扩展，不能标为芒格原创。,99度的水和100度的水；相变的物理学：为什么临界点如此特殊；社交网络的相变：从冷清到爆发没有中间地带,可作为芒格体系的兼容扩展或反例材料；首次出现必须标注通用模型/编辑扩展身份。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,部分成立：不承担主书核心证据，但其附录、索引或资料组织价值明确。,C,munger-ch-02,模型身份附录“物理学与化学”分组及概念索引“相变与临界现象”；关联munger-ch-02,否,是,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
DR-057,content/models/physics-envy.md,物理学妒忌,通用模型与编辑扩展,把适用于物理世界的精确方法论不加修正地移植到人类社会系统中，是一种致命的类比错误。LTCM用物理学般的数学模型交易，却遭遇了'不可能'的崩溃。,相对芒格原始演讲，该稿新增了“物理学妒忌”的跨学科定义、机制和应用路径；此增量属于可与项目内演讲交叉核对的扩展整理，不能标为芒格原创。,芒格的诊断：聪明人的傲慢；软科学的困境：精确性幻觉；如何避免物理学妒忌,可用于显示芒格如何借用通用知识并纳入自身体系；必须同时保留思想源流和非原创边界。,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,不再成立为排除理由：直接归因限制仍成立，但材料具有明确侧栏或案例增量。,B,munger-ch-06,章节侧栏/补充解释“物理学妒忌”（munger-ch-06）；首次标注“通用模型或编辑扩展”,是,否,是,是,不适用：已提升为B级或C级编辑用途。,人工式复评关注内容增量与身份边界；不以目录、篇幅、模型层级或旧版未收录作为单独排除理由。
