文件ID,来源文件,标题,字符数,所属人物,内容身份,分级,分级理由,对应主题,推荐用途,主版本,替代版本,是否需要事实核验,是否存在错误归因风险,芒格模型身份层级,模型身份说明,编辑可信度
DOC-183,content/models/adversarial-system.md,对抗制与辩证过程,8293,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,投资与资本配置|人类误判心理学|激励与制度,通用模型典藏/不进入主书,content/models/adversarial-system.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-184,content/models/adverse-selection.md,逆向选择,8095,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,逆向与决策工具|商业判断|投资与资本配置,附录模型库/延伸阅读,content/models/adverse-selection.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-185,content/models/agency-costs.md,代理成本,7558,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,激励与制度|商业判断|投资与资本配置,附录模型库/延伸阅读,content/models/agency-costs.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-186,content/models/anchoring-bias.md,锚定偏差,7146,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,人类误判心理学|投资与资本配置|理性训练与避免愚蠢,附录模型库/延伸阅读,content/models/anchoring-bias.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-187,content/models/antifragile-design.md,反脆弱设计,6837,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|投资与资本配置|商业判断,通用模型典藏/不进入主书,content/models/antifragile-design.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-188,content/models/arithmetic-expected-value.md,算术期望值,5967,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,概率与数量思维|投资与资本配置|学习、品格与人生,附录模型库/延伸阅读,content/models/arithmetic-expected-value.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-189,content/models/asymmetric-information.md,信息不对称,6837,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,投资与资本配置|商业判断|逆向与决策工具,附录模型库/延伸阅读,content/models/asymmetric-information.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-190,content/models/asymmetry-convexity.md,不对称性与凸性,6480,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,投资与资本配置|商业判断|概率与数量思维,附录模型库/延伸阅读,content/models/asymmetry-convexity.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-191,content/models/audit-independent-verification.md,审计与独立验证,8343,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,激励与制度|商业判断|理性训练与避免愚蠢,附录模型库/延伸阅读,content/models/audit-independent-verification.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-192,content/models/authority-misinfluence-tendency.md,权威错误影响倾向,8701,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,人类误判心理学|理性训练与避免愚蠢|复杂系统与通用模型,附录模型库/延伸阅读,content/models/authority-misinfluence-tendency.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-193,content/models/autocatalysis.md,自我催化模型,6527,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|复杂系统与通用模型|知识格栅与多元模型,通用模型典藏/不进入主书,content/models/autocatalysis.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-194,content/models/automation-checklists.md,自动化与检查清单,6721,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,逆向与决策工具|复杂系统与通用模型|人类误判心理学,通用模型典藏/不进入主书,content/models/automation-checklists.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-195,content/models/availability-misweighing-tendency.md,错误衡量易得性倾向,7306,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,人类误判心理学|复杂系统与通用模型|概率与数量思维,附录模型库/延伸阅读,content/models/availability-misweighing-tendency.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-196,content/models/avoiding-ideology.md,避免意识形态偏见,8967,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,理性训练与避免愚蠢|投资与资本配置|人类误判心理学,编者解释/检查清单,content/models/avoiding-ideology.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-197,content/models/avoiding-stupidity-over-seeking-brilliance.md,避蠢优于求智,6729,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,投资与资本配置|理性训练与避免愚蠢|人类误判心理学,机制解释/侧栏/图表素材,content/models/avoiding-stupidity-over-seeking-brilliance.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-198,content/models/basic-arithmetic-order-of-magnitude-estimation.md,基本算术与数量级估算,6272,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,概率与数量思维|商业判断|投资与资本配置,机制解释/侧栏/图表素材,content/models/basic-arithmetic-order-of-magnitude-estimation.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-199,content/models/basic-game-theory.md,博弈论基础,6712,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|学习、品格与人生|理性训练与避免愚蠢,附录模型库/延伸阅读,content/models/basic-game-theory.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-200,content/models/basics-of-contract-law.md,合同法基本原则,6331,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|激励与制度|知识格栅与多元模型,通用模型典藏/不进入主书,content/models/basics-of-contract-law.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-201,content/models/bayes-theorem.md,贝叶斯定理,6512,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,概率与数量思维|商业判断|投资与资本配置,通用模型典藏/不进入主书,content/models/bayes-theorem.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-202,content/models/bayesian-updating.md,贝叶斯更新,7337,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,概率与数量思维|商业判断|人类误判心理学,附录模型库/延伸阅读,content/models/bayesian-updating.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-203,content/models/bet-seldom-bet-big.md,少下注下大注,7929,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,投资与资本配置|人类误判心理学|商业判断,机制解释/侧栏/图表素材,content/models/bet-seldom-bet-big.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-204,content/models/biological-redundancy.md,生物冗余设计,5625,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|投资与资本配置|商业判断,通用模型典藏/不进入主书,content/models/biological-redundancy.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-205,content/models/bottleneck-effect-founder-effect.md,瓶颈效应与创始人效应,5580,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|复杂系统与通用模型|概率与数量思维,附录模型库/延伸阅读,content/models/bottleneck-effect-founder-effect.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-206,content/models/brand-power.md,品牌认同,7589,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,商业判断|人类误判心理学|复杂系统与通用模型,编者解释/检查清单,content/models/brand-power.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-207,content/models/breakpoints.md,断裂点,7007,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,复杂系统与通用模型|商业判断|投资与资本配置,附录模型库/延伸阅读,content/models/breakpoints.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-208,content/models/burden-of-proof.md,举证责任与证据标准,8084,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,投资与资本配置|人类误判心理学|商业判断,编者解释/检查清单,content/models/burden-of-proof.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-209,content/models/cash-flow-vs-earnings.md,现金流量vs利润,8379,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,投资与资本配置|商业判断|激励与制度,机制解释/侧栏/图表素材,content/models/cash-flow-vs-earnings.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-210,content/models/catalysts.md,催化剂,6253,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|激励与制度|知识格栅与多元模型,附录模型库/延伸阅读,content/models/catalysts.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-211,content/models/checklist-method.md,检查清单方法,7312,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|逆向与决策工具|投资与资本配置,机制解释/侧栏/图表素材,content/models/checklist-method.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-212,content/models/circle-of-competence-management-level.md,能力圈（管理层面）,4966,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,逆向与决策工具|商业判断|投资与资本配置,机制解释/侧栏/图表素材,content/models/circle-of-competence-management-level.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-213,content/models/circle-of-competence-metacognitive-level.md,能力圈（元认知层面）,6053,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,逆向与决策工具|投资与资本配置|人类误判心理学,机制解释/侧栏/图表素材,content/models/circle-of-competence-metacognitive-level.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-214,content/models/circle-of-competence.md,能力圈,11471,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,逆向与决策工具|商业判断|投资与资本配置,机制解释/侧栏/图表素材,content/munger-archive/mental-models/circle-of-competence.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-215,content/models/co-evolution.md,协同进化,7138,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|激励与制度,通用模型典藏/不进入主书,content/models/co-evolution.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-216,content/models/comparative-advantage.md,比较优势,6339,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,逆向与决策工具|投资与资本配置|知识格栅与多元模型,附录模型库/延伸阅读,content/models/comparative-advantage.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-217,content/models/competitive-destruction.md,竞争性毁灭,7233,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|人类误判心理学|激励与制度,附录模型库/延伸阅读,content/models/competitive-destruction.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-218,content/models/complex-adaptive-systems.md,复杂适应系统,8057,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|知识格栅与多元模型|投资与资本配置,通用模型典藏/不进入主书,content/models/complex-adaptive-systems.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-219,content/models/complex-systems.md,复杂系统,9219,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|知识格栅与多元模型|商业判断,通用模型典藏/不进入主书,content/models/complex-systems.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-220,content/models/compound-interest.md,复利效应,6159,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,概率与数量思维|投资与资本配置|商业判断,机制解释/侧栏/图表素材,content/models/compound-interest.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-221,content/models/concentration-less-is-more.md,集中持仓,6870,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,投资与资本配置|商业判断|逆向与决策工具,机制解释/侧栏/图表素材,content/models/concentration-less-is-more.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-222,content/models/conditional-probability-base-rates.md,条件概率与基础比率,9070,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,概率与数量思维|投资与资本配置|商业判断,通用模型典藏/不进入主书,content/models/conditional-probability-base-rates.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-223,content/models/confidence-calibration.md,置信度校准,6700,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,概率与数量思维|投资与资本配置|复杂系统与通用模型,附录模型库/延伸阅读,content/models/confidence-calibration.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-224,content/models/consequentialism-vs-deontology.md,后果主义vs义务论,5648,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,激励与制度|学习、品格与人生|逆向与决策工具,通用模型典藏/不进入主书,content/models/consequentialism-vs-deontology.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-225,content/models/conservation-of-energy.md,能量守恒,7309,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|投资与资本配置|商业判断,通用模型典藏/不进入主书,content/models/conservation-of-energy.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-226,content/models/contrast-misreaction-tendency.md,对比错误反应倾向,8483,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|复杂系统与通用模型|商业判断,机制解释/侧栏/图表素材,content/models/contrast-misreaction-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-227,content/models/convergent-evolution.md,趋同进化,5529,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|理性训练与避免愚蠢,通用模型典藏/不进入主书,content/models/convergent-evolution.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-228,content/models/corporate-culture-as-asset.md,企业文化作为资产,7144,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,商业判断|激励与制度|复杂系统与通用模型,编者解释/检查清单,content/models/corporate-culture-as-asset.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-229,content/models/correlation-is-not-causation.md,相关不等于因果,9282,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|概率与数量思维|人类误判心理学,附录模型库/延伸阅读,content/models/correlation-is-not-causation.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-230,content/models/critical-mass-phase-transitions-in-systems.md,临界质量与相变,7385,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|激励与制度,通用模型典藏/不进入主书,content/models/critical-mass-phase-transitions-in-systems.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-231,content/models/critical-mass.md,临界质量,6136,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,复杂系统与通用模型|商业判断|知识格栅与多元模型,附录模型库/延伸阅读,content/models/critical-mass.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-232,content/models/curiosity-tendency.md,好奇心倾向,636,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|知识格栅与多元模型|学习、品格与人生,机制解释/侧栏/图表素材,content/models/curiosity-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-233,content/models/darwinian-objectivity.md,达尔文式客观态度,7216,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,理性训练与避免愚蠢|人类误判心理学|复杂系统与通用模型,编者解释/检查清单,content/models/darwinian-objectivity.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-234,content/models/decision-tree-theory.md,决策树理论,7005,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,概率与数量思维|逆向与决策工具|投资与资本配置,附录模型库/延伸阅读,content/models/decision-tree-theory.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-235,content/models/deferred-revenue-revenue-recognition.md,递延收入与收入确认,7516,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|投资与资本配置|复杂系统与通用模型,通用模型典藏/不进入主书,content/models/deferred-revenue-revenue-recognition.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-236,content/models/delay-effects.md,延迟效应,6866,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|投资与资本配置|复杂系统与通用模型,附录模型库/延伸阅读,content/models/delay-effects.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-237,content/models/depreciation-amortization.md,折旧与摊销,6437,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|投资与资本配置|学习、品格与人生,附录模型库/延伸阅读,content/models/depreciation-amortization.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-238,content/models/deprival-superreaction-tendency.md,被剥夺超级反应倾向,9041,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|理性训练与避免愚蠢|商业判断,机制解释/侧栏/图表素材,content/models/deprival-superreaction-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-239,content/models/design-for-maintainability.md,可维护性设计,5830,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|复杂系统与通用模型|投资与资本配置,通用模型典藏/不进入主书,content/models/design-for-maintainability.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-240,content/models/discounted-cash-flow.md,现金流贴现法,7226,芒格,通用模型与编辑扩展,B,可从芒格原则直接推导，适合作为编者解释，不标为芒格原创。,投资与资本配置|商业判断|知识格栅与多元模型,编者解释/检查清单,content/models/discounted-cash-flow.md,无,是,中,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,高
DOC-241,content/models/disliking-hating-tendency.md,讨厌与憎恨倾向,7542,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|商业判断|投资与资本配置,机制解释/侧栏/图表素材,content/models/disliking-hating-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-242,content/models/disruptive-innovation.md,破坏性创新,7584,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|理性训练与避免愚蠢|激励与制度,通用模型典藏/不进入主书,content/models/disruptive-innovation.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-243,content/models/double-entry-bookkeeping.md,复式记账法,6629,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,商业判断|投资与资本配置|复杂系统与通用模型,附录模型库/延伸阅读,content/models/double-entry-bookkeeping.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-244,content/models/doubt-avoidance-tendency.md,避免怀疑倾向,7252,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|复杂系统与通用模型|商业判断,机制解释/侧栏/图表素材,content/models/doubt-avoidance-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-245,content/models/drug-misinfluence-tendency.md,化学物质错误影响倾向,7234,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|复杂系统与通用模型|理性训练与避免愚蠢,机制解释/侧栏/图表素材,content/models/drug-misinfluence-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-246,content/models/economies-of-scale.md,规模优势,7237,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,商业判断|复杂系统与通用模型|投资与资本配置,机制解释/侧栏/图表素材,content/models/economies-of-scale.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-247,content/models/ecosystem-thinking.md,生态系统思维,7383,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|投资与资本配置,通用模型典藏/不进入主书,content/models/ecosystem-thinking.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-248,content/models/emergence.md,涌现性,7612,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,复杂系统与通用模型|人类误判心理学|商业判断,附录模型库/延伸阅读,content/models/emergence.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-249,content/models/empiricism.md,经验主义,6228,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,知识格栅与多元模型|投资与资本配置|人类误判心理学,附录模型库/延伸阅读,content/models/empiricism.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-250,content/models/engineering-margin-of-safety.md,安全边际（工程源头）,6773,芒格,通用模型与编辑扩展,C,与芒格体系兼容但属于后人扩展，主书只在必要处少量使用。,投资与资本配置|复杂系统与通用模型|商业判断,附录模型库/延伸阅读,content/models/engineering-margin-of-safety.md,无,是,高,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,中
DOC-251,content/models/enlightenment-rationalism.md,启蒙运动的理性传统,6314,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,理性训练与避免愚蠢|投资与资本配置|人类误判心理学,通用模型典藏/不进入主书,content/models/enlightenment-rationalism.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-252,content/models/entropy.md,熵,8086,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|学习、品格与人生,通用模型典藏/不进入主书,content/models/entropy.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-253,content/models/envy-jealousy-tendency.md,艳羡与妒忌倾向,7328,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|激励与制度|复杂系统与通用模型,机制解释/侧栏/图表素材,content/models/envy-jealousy-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
DOC-254,content/models/epigenetics.md,表观遗传学,6196,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|激励与制度|复杂系统与通用模型,通用模型典藏/不进入主书,content/models/epigenetics.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-255,content/models/equilibrium-and-far-from-equilibrium.md,均衡与远离均衡态,5426,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|复杂系统与通用模型|投资与资本配置,通用模型典藏/不进入主书,content/models/equilibrium-and-far-from-equilibrium.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-256,content/models/evolutionary-arms-race.md,进化军备竞赛,7198,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,商业判断|复杂系统与通用模型|投资与资本配置,通用模型典藏/不进入主书,content/models/evolutionary-arms-race.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-257,content/models/evolutionary-epistemology.md,进化认识论,7066,芒格,通用模型与编辑扩展,D,现有内部材料缺少芒格直接使用证据，且对主线贡献有限。,复杂系统与通用模型|商业判断|投资与资本配置,通用模型典藏/不进入主书,content/models/evolutionary-epistemology.md,无,是,高,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,中
DOC-258,content/models/excessive-self-regard-tendency.md,自视过高的倾向,9024,芒格,通用模型与编辑扩展,B,主题与芒格核心体系直接相关，但稿件身份是模型扩展，需与原始表达分栏。,人类误判心理学|理性训练与避免愚蠢|复杂系统与通用模型,机制解释/侧栏/图表素材,content/models/excessive-self-regard-tendency.md,无,是,中,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,高
