模型编号,来源文件,模型名称,学科,身份层级,身份定义,芒格直接证据,主书建议,分级,需要事实核验,错误归因风险,编辑备注
MM-097,content/models/goodwill-impairment.md,商誉及其减值,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-098,content/models/half-life.md,半衰期,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-099,content/models/hanlons-razor.md,汉隆剃刀,元认知与思维方法论,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-100,content/models/herding-behavior.md,羊群行为,心理学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-101,content/models/historical-contingency-path-dependence.md,历史偶然性与路径依赖,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-102,content/models/immune-system-antifragility.md,免疫系统与抗脆弱性,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-103,content/models/incentive-structure-agency-problem.md,激励结构与代理问题,法学与政治学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-104,content/models/incentive-structure-design.md,激励结构设计,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-105,content/models/incentives-economic-view.md,激励机制,微观经济学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-106,content/models/inconsistency-avoidance-tendency.md,避免不一致性倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-107,content/models/independence.md,独立思考,投资原则与品格,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-108,content/models/influence-from-mere-association-tendency.md,受简单联想影响的倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-109,content/models/intellectual-humility.md,知识谦逊,投资原则与品格,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-110,content/models/intellectual-property-law.md,知识产权法,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-111,content/models/intellectual-property-moats.md,知识产权与护城河,管理学与商业,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-112,content/models/intrinsic-value.md,内在价值,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-113,content/models/inventory-valuation-methods.md,存货计价方法,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-114,content/models/inversion.md,逆向思维,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-115,content/models/iteration-prototyping.md,迭代与原型,工程学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-116,content/models/kantian-fairness-tendency.md,康德式公平倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-117,content/models/latticework-of-mental-models.md,多元思维模型框架,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-118,content/models/law-of-large-numbers.md,大数定律,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-119,content/models/lessons-of-history.md,以史为鉴,历史学与哲学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-120,content/models/lifelong-learning.md,终身学习,投资原则与品格,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-121,content/models/liking-loving-tendency.md,喜欢与热爱倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-122,content/models/limits-of-extrapolation-nonlinearity.md,趋势外推的局限,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-123,content/models/lindy-effect.md,林迪效应,管理学与商业,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-124,content/models/lollapalooza-tendency.md,Lollapalooza倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-125,content/models/man-with-a-hammer-syndrome.md,铁锤人倾向,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-126,content/models/map-is-not-the-territory.md,地图不是疆域,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-127,content/models/margin-of-safety.md,安全边际,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-128,content/models/marginal-analysis.md,边际分析,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-129,content/models/marginal-cost-marginal-revenue.md,边际成本与边际收益,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-130,content/models/marginal-utility.md,边际效用,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-131,content/models/mental-accounting.md,心理账户,心理学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-132,content/models/moat.md,护城河（Moat）,管理学与商业,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-133,content/models/modern-darwinian-synthesis.md,进化论,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-134,content/models/momentum.md,动量与惯性,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-135,content/models/monopoly-oligopoly.md,垄断与寡头,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-136,content/models/moral-hazard-legal-view.md,道德风险法学视角,法学与政治学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-137,content/models/moral-hazard.md,道德风险,微观经济学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-138,content/models/mr-market.md,市场先生,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-139,content/models/multidisciplinary-approach.md,跨学科思维,元认知与思维方法论,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-140,content/models/multiplicative-systems.md,乘法系统思维,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-141,content/models/narrative-fallacy.md,叙事谬误,心理学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-142,content/models/natural-selection-survival-of-the-fittest.md,自然选择与适者生存,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-143,content/models/negligence-vs-strict-liability.md,过失与严格责任,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-144,content/models/network-effects.md,网络效应,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-145,content/models/network-theory.md,网络理论,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-146,content/models/niche-differentiation.md,利基分化,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-147,content/models/nonlinear-consequences.md,非线性后果,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-148,content/models/normal-accidents.md,正常事故,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-149,content/models/normal-non-normal-distributions.md,正态与非正态分布,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-150,content/models/occams-razor.md,奥卡姆剃刀,元认知与思维方法论,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-151,content/models/off-balance-sheet-contingent-liabilities.md,表外负债与或有负债,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-152,content/models/opportunity-cost-in-accounting.md,机会成本会计视角,会计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-153,content/models/opportunity-cost.md,机会成本,微观经济学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-154,content/models/overoptimism-tendency.md,过度乐观倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-155,content/models/parasitism-mutualism.md,寄生与共生,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-156,content/models/pari-mutuel-system.md,彩池投注系统,投资学与金融学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-157,content/models/patents-trademarks-franchises.md,专利权、商标权与特许经营权,微观经济学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-158,content/models/path-dependence-lock-in.md,路径依赖与锁定,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-159,content/models/patience-discipline.md,耐心与纪律,投资原则与品格,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-160,content/models/permutations-and-combinations.md,排列组合原理,数学与统计学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-161,content/models/phase-transitions.md,相变与临界现象,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-162,content/models/physics-envy.md,物理学妒忌,元认知与思维方法论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-163,content/models/pluralistic-ignorance.md,多数无知与从众谬误,元认知与思维方法论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-164,content/models/power-laws.md,幂律分布,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-165,content/models/pragmatism.md,实用主义,历史学与哲学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-166,content/models/precedent.md,先例原则,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-167,content/models/premortems.md,极端情景模拟,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-168,content/models/price-discrimination.md,价格歧视,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-169,content/models/price-elasticity.md,价格弹性与定价权,微观经济学,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-170,content/models/principal-agent-solutions.md,委托代理问题的管理解法,管理学与商业,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-171,content/models/principle-of-least-energy.md,最小能量原理,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-172,content/models/prisoners-dilemma.md,囚徒困境,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-173,content/models/probabilistic-thinking-expected-value.md,概率思维与期望值,数学与统计学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-two.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-174,content/models/psychology-of-human-misjudgment.md,人类误判心理学,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-175,content/models/punctuated-equilibrium.md,间断均衡,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-176,content/models/quality-control.md,质量控制,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-177,content/models/reason-respecting-tendency.md,重视理由倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-178,content/models/reciprocation-tendency.md,回馈倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-179,content/models/red-queen-effect.md,红皇后效应,生物学与进化论,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-180,content/models/redundancy.md,冗余备份系统,工程学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-181,content/models/regression-to-the-mean.md,回归均值,数学与统计学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-182,content/models/regulation-as-moat.md,监管作为护城河,管理学与商业,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,poor-charlies-almanack/poor-charlies-almanack-talk-nine.md,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-183,content/models/regulatory-capture.md,监管俘获,法学与政治学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-184,content/models/rent-seeking-legal-view.md,寻租行为法学视角,法学与政治学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-185,content/models/rent-seeking.md,寻租行为,微观经济学,3,后人扩展但与芒格体系兼容；使用时必须标注为编辑扩展。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,限附录或延伸阅读,C,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-186,content/models/repeat-what-works.md,重复有效的行为,元认知与思维方法论,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
MM-187,content/models/resonance.md,共振,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-188,content/models/reversibility-irreversibility.md,可逆性与不可逆性,物理学与化学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-189,content/models/reward-and-punishment-superresponse-tendency.md,奖励和惩罚超级反应倾向,心理学,1,芒格在内部原始演讲、问答或访谈中明确提出或反复使用；不等于相关学科概念由芒格原创。,poor-charlies-almanack/poor-charlies-almanack-talk-eleven.md,可用，但必须标为模型解释或编辑扩展,B,是,中,“明确使用”不代表芒格是该学科概念的原创者。
MM-190,content/models/rise-and-fall-of-empires.md,帝国兴衰周期,历史学与哲学,4,通用学科模型；现有内部材料尚未建立芒格直接使用证据。,未定位芒格直接原文；仅作为编辑扩展或通用模型候选,不进入主书,D,是,高,不得将模型正文中的编辑叙事写成人物原话。
MM-191,content/models/risk-first.md,风险优先,投资原则与品格,2,可从芒格反复使用的原则直接推导；当前模型名称或流程含编辑归纳。,content/qa/Wesco_股东大会_1996.md；content/munger-archive/recordings/daily-journal-2020.md,可用，但必须标为模型解释或编辑扩展,B,是,中,不得将模型正文中的编辑叙事写成人物原话。
