章节,文件路径,原分级,内容身份,审阅决定
buffett-ch-12,content/letters/berkshire_1999-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_2000-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_2001-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2002-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入正文｜buffett-ch-12
buffett-ch-12,content/letters/berkshire_2003-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2004-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2005-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_2006-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2007-巴菲特致股东信.md,A,巴菲特股东信中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/letters/berkshire_2008-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2009-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2010-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2013-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2014-巴菲特致股东信.md,A,巴菲特股东信中文翻译,进入正文｜buffett-ch-12
buffett-ch-12,content/letters/berkshire_2015-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2018-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/letters/berkshire_2024-巴菲特致股东信.md,A,巴菲特股东信中文翻译,进入正文｜buffett-ch-12
buffett-ch-12,content/partnership/partnership_1969-12月-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-12,content/people/阿吉特·贾恩.md,B,人物背景资料/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/qa/伯克希尔股东大会实录_1996.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/qa/伯克希尔股东大会实录_2000.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-12,content/qa/伯克希尔股东大会实录_2012.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/qa/伯克希尔股东大会问答_1985.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/qa/伯克希尔股东大会问答_1988.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/qa/伯克希尔股东大会问答_1989.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-12,content/qa/伯克希尔股东大会问答_1993.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-13,content/articles/buffett/巴菲特：扩大所得税抵免比提高最低工资更好.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/articles/buffett/巴菲特：美国的未来_2017.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/articles/buffett/巴菲特：我为什么不看好美元_2003.md,B,专题文章中文翻译/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/articles/buffett/巴菲特谈股市_1999.md,A,专题文章中文翻译/编辑整理,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-13,content/interviews/巴菲特：对话内布拉斯加大学学生_2005.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/interviews/巴菲特：对话瑞士洛桑国际管理学院_2008.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/interviews/巴菲特：对话沃顿商学院学生_2003.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/interviews/巴菲特：如何教孩子理财_2013.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/interviews/巴菲特：我为什么慷慨解囊_2006.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/interviews/巴菲特慈善捐赠专访_2006.md,B,访谈转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/letters/berkshire_2025-巴菲特致股东信.md,C,巴菲特股东信中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-13,content/partnership/partnership_1963-11月-巴菲特致合伙人信.md,C,巴菲特合伙人信/协议中文翻译,进入年表、索引、附录或完整典藏层
buffett-ch-13,content/partnership/partnership_1965-annual-巴菲特致合伙人信.md,A,巴菲特合伙人信/协议中文翻译,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-13,content/qa/伯克希尔股东大会实录_2010.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-13,content/qa/伯克希尔股东大会实录_2011.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/qa/伯克希尔股东大会实录_2013.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/qa/伯克希尔股东大会实录_2014.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-13,content/qa/伯克希尔股东大会实录_2015.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/qa/伯克希尔股东大会实录_2020.md,B,会议问答转录与中文整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/qa/伯克希尔股东大会实录_2024.md,C,会议问答转录与中文整理,进入年表、索引、附录或完整典藏层
buffett-ch-13,content/talks/巴菲特：佐治亚大学演讲_2001.md,A,演讲中文翻译/转录,由最佳证据或后续相关章节承接｜完整典藏层
buffett-ch-13,content/talks/巴菲特奥马哈新闻俱乐部_1992.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-13,content/talks/巴菲特太阳谷演讲_1999.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-15,content/articles/other/财富杂志：恐龙.md,C,第三方文章/编辑资料,进入年表、索引、附录或完整典藏层
buffett-ch-15,content/articles/other/杰米·戴蒙_2008_年致股东信.md,C,第三方文章/编辑资料,进入年表、索引、附录或完整典藏层
buffett-ch-15,content/articles/other/卢米斯：回顾职业生涯_2005.md,C,第三方文章/编辑资料,进入年表、索引、附录或完整典藏层
buffett-ch-15,content/articles/other/卢米斯：我在财富杂志的_51_年.md,C,第三方文章/编辑资料,进入年表、索引、附录或完整典藏层
buffett-ch-15,content/articles/other/最资深的经理人桑迪威尔.md,C,第三方文章/编辑资料,进入年表、索引、附录或完整典藏层
buffett-ch-15,content/books/聪明的投资者-核心要点.md,C,图书要点/二手概括,进入年表、索引、附录或完整典藏层
buffett-ch-15,content/books/投资最重要的事-核心要点.md,C,图书要点/二手概括,进入年表、索引、附录或完整典藏层
buffett-ch-15,content/people/泰德·韦施勒.md,D,人物背景资料/编辑整理,进入正文｜buffett-ch-15
buffett-ch-15,content/people/托德·库姆斯.md,D,人物背景资料/编辑整理,进入正文｜buffett-ch-15
buffett-ch-15,content/people/B夫人.md,B,人物背景资料/编辑整理,保留为案例、侧栏、索引候选｜完整典藏层
buffett-ch-15,content/talks/施洛斯：哥大商学院演讲_1993.md,B,演讲中文翻译/转录,保留为案例、侧栏、索引候选｜完整典藏层
